id;name
590079;MS INVF Global Balanced Income A
415690;Lannebo Mixfond Offensiv
679795;BNP Paribas Smart Food Cl Cap
70356;Invesco Pan Eur StructEq A EUR Acc
135;Handelsbanken Brasilien Tema A1 SEK
377809;SPP FRN Företagsobligationsfond A
2166;Invesco Emerging Europe Equity A USD Acc
70211;MS INVF US Property A
2058;Skandia Korträntefond
1505;SPP Aktiefond USA
926113;Lannebo Sverige Hållbar A SEK
823613;Nordea Swedish Ideas Equity
334858;Allianz Global Metals and Mining A EUR
465181;LO Funds Europe High Convc EUR PA
1254;Handelsbanken Japan Tema (A1 SEK)
3022;HSBC GIF Asia ex Jpn Eq Smlr Coms AC
1503;SEB Nordamerikafond
289940;Threadneedle(Lux) Gl EM ST Bds AU
1878;Skandia SMART Offensiv
535296;Plain Capital LunatiX
430715;FIM Frontier B
2498;Länsförsäkringar Gl Strategisk Ränta A
789175;PLUS Småbolag Sverige Index
79694;Delphi Global A
237984;Ålandsbanken Premium 30 B
3061;HSBC GIF Chinese Equity AC
289817;MS INVF Emerging Mkts Corp Debt A
346935;IKC Avkastningsfond
750;Schroder ISF EURO Equity A Acc EUR
1011194;Consensus Global Select A
317656;Invesco US Value Equity A USD Acc
818953;Swedbank Robur Företagsobligation Mix A
353095;Tellus Globala Investmentbolag
592235;Swedbank Robur Access Sverige
1011177;Lannebo Teknik Småbolag
1011197;Consensus Sverige Select A
70560;Janus Henderson Hrzn AsPac Pty Eqs A2USD
600081;UB Infra A
81;Fidelity Indonesia A-Dis-USD
12270;Janus Henderson Hrzn Pan Eurp Eq A2 EUR
321692;DNB Finans A
118;Pictet-Greater China R USD
24328;Öhman Etisk Index Sverige A
755573;Peak Equity Alpha (A) SEK
1040;SPP Generation 80-tal
961;Pictet-Small Cap Europe R EUR
2078;Carnegie Investment Grade A
1038776;DNB Fund - Nordic Small Cap Retail A SEK
950781;Nordea 1 - Low Dur Eurp Cov Bd HB SEK
795454;Öhman Grön Obligationsfond A
547;BGF Sustainable Energy A2
20993;Handelsbanken Sverige Index Criteria
277569;Fidelity European Div A-Acc-EUR
63;Stewart Investors AsiaPac Ldrs A Acc GBP
75777;Nordea Stabila Aktier H-SEK
232948;AS SICAV I Asn Prpty Shr S Acc USD
41815;Schroder ISF BRIC A Acc USD
150208;Fidelity American Diversified A-Acc-EUR
645076;GAM Star China Equity A USD Acc
409832;MS INVF Global Advantage A
659795;SEF – Kavaljer Quality Focus A SEK
3141;HSBC GIF Brazil Equity AC
616836;Janus Henderson Hrzn PanEurp DivInc A2 €
1047;OPM Vega A
1288;SPP Aktiefond Japan
328;Franklin Mutual US Value A acc USD
747353;Allianz Structured Return AT13 H2 SEK
801504;Danske Invest Horisont Försiktig SA
121011;Nordea Klimatfond BP SEK
168;Invesco Asia Opportunities Eq A USD Acc
792013;Adrigo Small & Midcap L/S
632575;Franklin Diversified Dyn A(acc)SEK-H1
87987;SEB Swedish Value Fund
801853;Danske Invest Horisont Offensiv SA
766777;Jupiter Dynamic Bond L SEK Acc HSC
426716;Fidelity Em Mkt Corp Dbt A-Acc-USD
375216;SPP Global Solutions A
1950;SPP Aktiefond Sverige A
945454;SEB Företagsobligationsfond Hållbar SEK
71318;MS INVF Global Brands A
1101;Atlant Stability Offensiv
2007;SEB Sverigefond Småbolag
259057;Schroder ISF Glb Convert Bd A Acc USD
746773;Allianz Green Bond AT3 H2 SEK
134;Swedbank Robur Asienfond
221608;C Worldwide Sweden Small Cap 1A
12270;Janus Henderson Hrzn Pan Eurp Alp A2 EUR
2037;CF Korträntefond A
136;Nordea Asian
1020238;Swedbank Robur Access Edge Em Mkt A SEK
376714;Threadneedle (Lux) UK Eqs AG GBP Acc
759593;Allianz Global Artfcl Intlgc AT EUR
4765;Fidelity Japan Advantage A-Acc-JPY
3066;HSBC GIF Euroland Eq Smlr Coms AC
240788;MS INVF Global Infrastructure A
263948;Templeton Global Ttl Ret A(acc)SEK-H1
698234;IKC Global Infrastructure A
729075;ODIN USA C
1665;ODIN Norge C
788398;Avanza Auto 6
573;Länsförsäkringar Europa Aktiv A
273630;MS INVF Global Opportunity A
630;JPM Europe Strategic Growth A (dist) EUR
