id;ticker;name;market;field
806945;MTT;Magna Terra Minerals Inc;TSX Venture Exchange;-
76089;CU;Canadian Utilities Ltd;Toronto Stock Exchange;Allmännyttigt
808450;WP;Western Pacific Trust Co;TSX Venture Exchange;-
305155;ZON;Zonte Metals Inc;TSX Venture Exchange;Råvaror
630046;BBL.A;Brampton Brick Ltd;Toronto Stock Exchange;Råvaror
581981;ARS;Ares Strategic Mining Inc;TSX Venture Exchange;Råvaror
806812;MKT;Deepmarkit Corp;TSX Venture Exchange;-
76388;FM;First Quantum Minerals Ltd;Toronto Stock Exchange;Råvaror
76582;BKM;Pacific Booker Minerals Inc;TSX Venture Exchange;Teknik
631096;MCX;McorpCX Inc;TSX Venture Exchange;-
807501;VIO;Societe d Exploration Miniere Vior Inc;TSX Venture Exchange;Råvaror
75998;CKG;Chesapeake Gold Corp;TSX Venture Exchange;Råvaror
75918;BQE;BQE Water Inc;TSX Venture Exchange;-
282534;ICE;Canlan Ice Sports Corp;Toronto Stock Exchange;Konsument, cyklisk
345876;PLA;Plata Latina Minerals Corp;TSX Venture Exchange;-
283133;DBO;D-Box Technologies Inc;Toronto Stock Exchange;Teknik
76114;STN;Stantec Inc;Toronto Stock Exchange;Industri
924627;AGRO;Agrios Global Holdings Ltd;Canadian Securities Exchange;-
76094;IAG;iA Financial Corporation Inc;Toronto Stock Exchange;Finans
917917;UGM;UrbanGold Minerals Inc;TSX Venture Exchange;-
266089;ESV.H;ESI Environmental Sensors Inc;TSX Venture Exchange;-
880335;KMAX;OrganiMax Nutrient Corp;TSX Venture Exchange;-
732134;OS;Osprey Gold Development Ltd;TSX Venture Exchange;Råvaror
1047483;VGCX;Victoria Gold Corp;Toronto Stock Exchange;Råvaror
924536;CURA;Curaleaf Holdings Inc;Canadian Securities Exchange;-
76123;COV;Covalon Technologies Ltd;TSX Venture Exchange;Teknik
606519;H;Hydro One Ltd;Toronto Stock Exchange;Allmännyttigt
265588;CEM;Constantine Metal Resources Ltd;TSX Venture Exchange;Råvaror
845555;WTER;Alkaline Water Company Inc;TSX Venture Exchange;Konsument, stabil
854356;DEX;Almadex Minerals Ltd;TSX Venture Exchange;-
747019;NEXT;NextSource Materials Inc;Toronto Stock Exchange;Råvaror
735053;VPT;VentriPoint Diagnostics Ltd;TSX Venture Exchange;Sjukvård
76203;PBX;PowerBand Solutions Inc;TSX Venture Exchange;-
880817;WOW;Wow Unlimited Media Inc;TSX Venture Exchange;Teknik
325241;RKR;ROKMASTER Resources Corp;TSX Venture Exchange;-
258008;EW;East West Petroleum Corp;TSX Venture Exchange;-
806950;IMI;International Millennium Mining Corp;TSX Venture Exchange;-
857371;MXG;Maxim Power Corp;Toronto Stock Exchange;Allmännyttigt
861426;RBN.UN;Blue Ribbon Income Fund;Toronto Stock Exchange;Finans
1013106;KANA;Kanadario Gold Inc;TSX Venture Exchange;-
76535;YRI;Yamana Gold Inc;Toronto Stock Exchange;Råvaror
934099;QX;QX Metals Corp;TSX Venture Exchange;Teknik
76012;QIS;Quorum Information Technologies Inc;TSX Venture Exchange;-
